"trip_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_community_area","dropoff_community_area","fare","tip","trip_total","shared_trip_authorized","trips_pooled"
"0589a3ffa55c5267cf7cee8eb50c0e293c2c6ec0",2019-06-30 23:15:00,2019-06-30 23:30:00,"544","2.1963193122","68","42","5","0","7.55","TRUE","1"
"058d52ec0610b376be2428a1c0abf67c6d5fd872",2019-06-30 22:00:00,2019-06-30 22:30:00,"1158","4.5111459175","6","22","20","0","22.85","FALSE","1"
"059caf324dcbddc89f7a848832952934b7373053",2019-06-30 22:15:00,2019-06-30 22:45:00,"1780","17.8083964025","76","8","30","0","37.55","FALSE","1"
"05bc713d9063fa65b48191734357225a881fec41",2019-06-30 22:45:00,2019-06-30 23:15:00,"1778","5.3524887931","29","8","37.5","15","55.05","FALSE","1"
"05bde0d9275bfc79d7abea0c66d193beaedc2c8e",2019-06-30 22:15:00,2019-06-30 22:30:00,"407","1.1413602595","8","8","2.5","0","5.05","FALSE","1"
"05c30d0aa5dc80c4f26800e0dd5beac03d032e35",2019-06-30 22:45:00,2019-06-30 23:15:00,"1423","16.5416508229","76","7","37.5","0","45.05","FALSE","1"
"05c73e466cd3789037bb5795e8847a6bddd583f0",2019-06-30 23:45:00,2019-06-30 23:45:00,"547","3.0968418798","24","8","12.5","0","15.05","FALSE","1"
"05c9f0cea0a57aac8f7379d89d1052dbea0c8a06",2019-06-30 23:45:00,2019-06-30 23:45:00,"154","0.5863300392","8","8","2.5","0","5.05","FALSE","1"
"05dbf6479db37422ab6e6f1a35305e05181e56de",2019-06-30 22:30:00,2019-06-30 22:45:00,"591","2.2850202968","77","3","7.5","0","10.05","FALSE","1"
"05e8c4158aea4ab215b4ead953686beefa9481be",2019-06-30 22:45:00,2019-06-30 22:45:00,"457","1.5053836746","24","24","5","0","7.55","FALSE","1"
"05f71ea89d9ba5e46493328091f5a9a5545afbdf",2019-06-30 22:30:00,2019-06-30 22:30:00,"440","2.0497507135","6","3","5","0","7.55","FALSE","1"
"05fcb792a529fcb1a237fde38571d84c3ab8dac3",2019-06-30 22:15:00,2019-06-30 23:00:00,"2605","13.7068879314","6","25","25","0","27.55","FALSE","1"
"05ff327f331759470404f60188f683fda2201cd8",2019-06-30 22:30:00,2019-06-30 22:45:00,"1019","4.2241256152","6","24","10","0","12.55","FALSE","1"
"060163a86a6460ab0cf6b66b232d6d8c4c3cfd88",2019-06-30 23:00:00,2019-06-30 23:15:00,"660","3.2369555376","7","8","10","5","17.55","FALSE","1"
"060cac6c6adf1d1e96604c75e28a990f59153423",2019-06-30 22:15:00,2019-06-30 22:30:00,"453","1.2242052798","8","32","5","5","12.55","FALSE","1"
"06100563b8a0894b992f338eba81eaa87ee67504",2019-06-30 23:30:00,2019-06-30 23:30:00,"537","2.0976054967","28","24","10","0","12.55","FALSE","1"
"061179fa12bb413c89e9f8a6bdc2d18115455f6e",2019-06-30 22:15:00,2019-06-30 22:15:00,"565","2.3135723591","8","8","7.5","1","11.05","FALSE","1"
"0617cceebb8c2e64e9b6e3727317d16d626969fc",2019-06-30 22:00:00,2019-06-30 22:15:00,"1082","7.9241934693","6","7","12.5","5","20.05","FALSE","1"
"06337ef296f0314bb79cb16e56e03b97f34c8942",2019-06-30 23:30:00,2019-06-30 23:45:00,"1049","2.8592121272","28","31","2.5","0","5.05","TRUE","2"
